"INP_EMR_PARAM_ID","INP_EMR_PARAM_NO","INP_EMR_PARAM_NAME","INP_EMR_PARAM_CONTENT","INP_EMR_PARAM_DESC","ENABLED_FLAG","DEPT_ID","INP_EMR_PARAM_TYPE_NO","INP_EMR_PARAM_VALUE_TYPE_NO","HOSPITAL_SOID","IS_DEL","CREATED_AT","MODIFIED_AT","CREATED_BY","MODIFIED_BY","INP_EMR_PARAM_GROUP_NO","PARAM_VALUE"
"5722100919992009934","256194","普通药品","orderItemContent","普通药品","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009935","256195","输液医嘱","orderItemContent","输液医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009937","256197","检验医嘱","orderItemContent","检验医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009938","256198","检查医嘱","orderItemContent","检查医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009939","256199","治疗医嘱","orderItemContent","治疗医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009940","256200","手术医嘱","orderItemContent","手术医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009941","384030","病理医嘱","orderItemContent","病理医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009942","384031","用血医嘱","orderItemContent","用血医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009943","384032","膳食医嘱","orderItemContent","膳食医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009944","384033","护理医嘱","orderItemContent","护理医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009945","384034","卫材医嘱","orderItemContent","卫材医嘱","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
"5722100919992009946","384035","嘱托","orderItemContent","嘱托","98360","11","emr_order_content_config","text","991827","0","2024-04-22 20:16:58","2024-04-22 20:16:58","57393667239307269","57393667239307269","",""
